rank,community_id,name,size,density,avg_shared_playlists,unique_playlists,avg_log_ratio_per_24h,avg_pct_growth_per_24h,total_log_ratio,total_pct_growth,top_artist,top_themes
1,0,2026 | techno | remix | party,964,0.09631898932709419,30.934687304285585,602,0.012414298330444983,1.3177180595843339,11.967383590548964,1270.2802094392978,Braaheim,"2026, techno, remix, party, hits"
2,1,thai | 90s | 2025 | เพราะๆ,956,0.14365484457490854,20.933498025222256,488,0.006239133632627095,0.636620322610002,5.964611752791503,608.6090284151619,Dr.Fuu,"thai, 90s, 2025, เพราะๆ, 2000s"
3,2,phonk | funk | 2026 | 2025,889,0.24587044862635413,31.738771136230152,535,0.01165733019696394,1.2032456741941493,10.363366545100943,1069.6854043585988,MXZI,"phonk, funk, 2026, 2025, aura"
4,3,2026 | rap | hits | hiphop,860,0.052668056420391476,35.103320653850105,1080,0.01348955846917829,2.0725404134269487,11.60102028349333,1782.384755547176,Drake,"2026, rap, hits, hiphop, 2025"
5,4,2026 | hits | 2025 | tiktok,830,0.09283067129797841,51.3393242947052,1437,0.013250884082538262,1.4217882921556448,10.998233788506758,1180.0842824891852,Olivia Dean,"2026, hits, 2025, tiktok, pop"
6,5,2026 | 2025 | mix | éxitos,756,0.20531553313010267,53.555695878487924,778,0.010162602381176328,1.0602564755372859,7.682927400169304,801.553895506188,Bad Bunny,"2026, 2025, mix, éxitos, verano"
7,6,2026 | sertanejo | melhores | mais,742,0.20665960983736556,69.80089064122647,354,0.01600886566567742,1.7512667541921842,11.878578323932645,1299.4399316106008,Panda,"2026, sertanejo, melhores, mais, tocadas"
8,7,2026 | funk | melhores | atualizado,703,0.1224382277013856,30.24043426453065,420,0.01450687259686397,1.6050757912667881,10.198331435595371,1128.368281260552,PEDRO SAMPAIO,"2026, funk, melhores, atualizado, mais"
9,8,2026 | house | hits | party,697,0.15320173485710517,36.92357373519914,873,0.01055239437606321,1.0912451169347144,7.355018880116058,760.5978465034959,Calvin Harris,"2026, house, hits, party, motivation"
10,9,fakemink | underground | rap | carson,688,0.1789419789445178,23.68114639740831,386,0.006874955189709246,0.6959506444727919,4.729969170519961,478.81404339728084,Ken Carson,"fakemink, underground, rap, carson, ken"
11,10,2026 | chill | lounge | house,626,0.22270159744408946,39.73777716567966,408,0.00980140380075912,1.0099039518853015,6.135678779275209,632.1998738801987,oskar med k,"2026, chill, lounge, house, vibes"
12,11,corridos | 2026 | peso | pluma,606,0.17334097046068242,50.84881671701913,568,0.01042569548277237,1.0917770342306836,6.317971462560056,661.6168827437942,Peso Pluma,"corridos, 2026, peso, pluma, mix"
13,12,punjabi | 2026 | trending | hindi,590,0.14232683951540964,42.35632834613829,389,0.013213724009227493,1.4112636463251578,7.796097165444221,832.6455513318431,Guru Randhawa,"punjabi, 2026, trending, hindi, hai"
14,13,house | 2026 | 2025 | mix,580,0.19142993270204275,24.460193510251067,658,0.007281465121530975,0.744969174418394,4.223249770487966,432.08212116266856,KETTAMA,"house, 2026, 2025, mix, afro"
15,14,dark | triad | tiktok | edit,576,0.2956702898550725,24.078835038702692,490,0.01223317098935561,1.309840833778396,7.046306489868831,754.4683202563562,ilyhiryu,"dark, triad, tiktok, edit, black"
16,15,jaydes | mandy | evvls | unreleased,540,0.36535422249707966,37.88106074854241,243,0.005570538995577218,0.5634127961666182,3.0080910576116975,304.24290992997385,jaydes,"jaydes, mandy, evvls, unreleased, sad"
17,16,2026 | tiktok | lagu | breakbeat,495,0.16262217314848892,36.28184881557109,421,0.009583752607045725,1.0096709684980882,4.743957540487634,499.78712940655373,NightSoundClouds,"2026, tiktok, lagu, breakbeat, viral"
18,17,animation | memes | bcd | 2025,434,0.09395387447983738,27.23062981422746,599,0.008413072198162745,0.9789278257878699,3.6512733340026315,424.8546763919355,Jin,"animation, memes, bcd, 2025, daily"
19,18,chill | 2026 | house | vibes,332,0.7352309540275908,59.41610970840141,124,0.012190821926264203,1.2752369255759184,4.047352879519716,423.37865929120494,TWOPILOTS,"chill, 2026, house, vibes, deep"
20,19,mix | exitos | éxitos | los,329,0.28691897101341834,58.31483754279439,315,0.012978735492225781,1.3597022882576102,4.270003976942282,447.34205283675374,La Zenda Norteña,"mix, exitos, éxitos, los, viejitas"
21,20,studs | 2026 | guttaspruter | party,320,0.43552115987460815,33.92649241981196,113,0.010298396459331305,1.0677682185065875,3.2954868669860176,341.685829922108,3D,"studs, 2026, guttaspruter, party, russelåter"
22,21,2026 | chill | lounge | background,269,0.8798757143649781,132.51898095598438,300,0.01569423658327678,1.733154065335384,4.2217496409014545,466.2184435752183,Mecdoux,"2026, chill, lounge, background, vibes"
23,22,2026 | mix | éxitos | cumbias,224,0.2607703395259449,40.4575464455704,147,0.009959132976131338,1.031171766699122,2.2308457866534197,230.98247574060332,Ojos de Luna,"2026, mix, éxitos, cumbias, rancheras"
24,23,covers | 2026 | chill | lounge,216,0.6763996554694229,93.89150643066344,29,0.00761693582602636,0.7662676360523187,1.6452581384216938,165.51380938730085,Nimus,"covers, 2026, chill, lounge, luxury"
25,24,hoodtrap | uicideboy | remixes | idleglance,211,0.22843601895734597,23.885398142659554,258,0.007812332644152655,0.7955581991089462,1.64840218791621,167.86278001198764,$uicideboy$,"hoodtrap, uicideboy, remixes, idleglance, uploads"
26,25,haryanvi | sharma | masoom | 2026,196,0.34913657770800627,55.72482014388489,141,0.011360195338465402,1.213386803818632,2.2265982863392186,237.82381354845188,Masoom Sharma,"haryanvi, sharma, masoom, 2026, tere"
27,26,2026 | dnb | bangers | vibes,191,0.412455221824194,44.7327632282202,159,0.010764932467846242,1.1512414270272757,2.0561021013586323,219.88711256220967,Wolf Alice,"2026, dnb, bangers, vibes, sean"
28,27,piano | ambience | book | melhores,187,0.1490426082456443,32.14506172839506,147,0.00535976431925243,0.54121983177623,1.0022759277002045,101.20810854215502,Tommy Twinkle,"piano, ambience, book, melhores, fantasy"
29,28,lofi | beats | 2026lofi | 2026,181,0.6223449969306323,48.9642927599132,35,0.009365795498893348,0.9493328367030631,1.6952089852996959,171.82924344325443,CMJ,"lofi, beats, 2026lofi, 2026, chill"
30,29,dormir | rolas | sleep | slowed,175,0.7305747126436781,34.461206509035335,64,0.003750247352958185,0.3765504629556103,0.6562932867676824,65.8963310172318,hollow ghost,"dormir, rolas, sleep, slowed, música"
31,30,house | 2026 | deep | chill,171,0.42703818369453045,33.69421620750765,167,0.017250651801882264,1.815518751932296,2.9498614581218674,310.4537065804226,Lynnic,"house, 2026, deep, chill, dance"
32,31,2026 | terbaru | jawa | lagu,167,0.4066084698073732,62.834634492547906,86,0.007788670211730516,0.7931895077977521,1.3007079253589962,132.4626478022246,Denny Caknan,"2026, terbaru, jawa, lagu, full"
33,32,2026 | mazza | mazza_l20 | deutschrap,163,0.19972733469665985,36.99507015547971,139,0.010289429986017092,1.0628820521746878,1.6771770877207859,173.24977450447412,Mazza_l20,"2026, mazza, mazza_l20, deutschrap, hits"
34,33,house | heart | remix | version,147,0.2568260180784643,32.3033381712627,126,0.006568337204797584,0.6624307182401704,0.9655455691052448,97.37731558130506,GiGi Waterproof,"house, heart, remix, version, tiktok"
35,34,2026 | opm | hits | dam,139,0.29183609634031904,54.09789210432297,159,0.007047826023162213,0.7144314171323823,0.9796478172195475,99.30596698140114,SB19,"2026, opm, hits, dam, philippines"
36,35,house | chill | covers | lounge,138,0.9802179202369619,87.77595510468379,33,0.009915124262487713,1.0093937266521655,1.3682871482233043,139.29633427799885,summer sax,"house, chill, covers, lounge, tropical"
37,36,2026 | музыка | песни | russian,126,0.31314285714285717,25.73398215733982,100,0.008519519751382766,0.8853544866327813,1.0734594886742286,111.55466531573045,Xcho,"2026, музыка, песни, russian, хиты"
38,37,house | 2026 | chill | lounge,125,0.9856774193548387,112.07383165335777,36,0.006165453452591785,0.6248959214493471,0.7706816815739731,78.1119901811684,Ian Storm,"house, 2026, chill, lounge, vibes"
39,38,juice | wrld | unreleased | leaks,117,0.805334512231064,26.67227813357731,29,0.003958137693457562,0.39665414960177714,0.46310211013453473,46.408535503407926,Lunarrr,"juice, wrld, unreleased, leaks, complete"
40,39,bunii | every | song | ilove6yari,108,0.9383869851159571,148.3659166359277,36,0.010538622763652696,1.0819240789436124,1.1381712584744912,116.84780052591015,bunii,"bunii, every, song, ilove6yari, niche"
41,40,网易云音乐热歌榜 | keshi | 台灣流行樂 | chinese,102,0.5004853426519122,17.937936384794416,58,0.009315989107838402,0.9536628901439149,0.950230888999517,97.27361479467932,keshi,"网易云音乐热歌榜, keshi, 台灣流行樂, chinese, 2026"
42,41,sleep | liminal | spaces | backrooms,99,1.0,84.42712842712842,12,0.004471792205870996,0.4500047900501588,0.4427074283812286,44.550474214965725,.diedlonely,"sleep, liminal, spaces, backrooms, uncanny"
43,42,2026 | christian | hits | worship,92,0.4328714763497372,30.91169977924945,78,0.0057908119730384535,0.5846815107196303,0.5327547015195377,53.79069898620598,Elevation Worship,"2026, christian, hits, worship, upbeat"
44,43,lounge | peluquería | moderna | chill,91,1.0,45.55018315018315,9,0.009046132109687025,0.9161513939860678,0.8231980219815194,83.36977685273217,Urban Love,"lounge, peluquería, moderna, chill, mykonos"
45,44,melhores | 2026 | pagode | tardezinha,89,0.47982635342185903,47.86588610963278,65,0.012782465860294231,1.3429028947514552,1.1376394615661867,119.51835763287951,Grupo Menos É Mais,"melhores, 2026, pagode, tardezinha, mais"
46,45,milo | las | todas | canciones,87,0.25394279604383857,61.66736842105263,69,0.011551362644376359,1.2002648206857054,1.0049685500607433,104.42303939965636,Milo j,"milo, las, todas, canciones, mix"
