track_id,community_id,track_name,artist_name
094IjHeVUviN4aBnSXYsuj,2,DIA DELÍCIA,Nakama
1KuF0vl4lKo1EQNAJIlnZM,2,MONTAGEM DIREÇÃO,DJ FKU
1QIOBbiTXNoAkbBGJIYUz0,2,FUNK SIGILO,h6itam
1RnPdd7EKKhKN3E4o4DRsh,2,MONTAGEM BAILÃO,Repsaj
1vDC7bWgvP3sLFxMcuhZcr,2,CANTA LALA,ANDROMEDA
2FnkrCrbXJuebXxnVtXiHI,2,Vem Vem,Jmilton
2Gs0iF27my40p0dANv2rAg,2,MONTAGEM XONADA,MXZI
2KuASDrLEcELVmffgC9b2L,2,NO ERA AMOR,DJ Asul
2UbLtO7CH3jhez0n2T7uDC,2,MONTAGEM COMA,ANDROMEDA
2r2vr5ujMEZN9hJzwwc6Jk,2,Montagem Supersonic,KHAOS
2ve1Mb0G8NcaiSiWJQl7JK,2,VAI VAI TRAIR,DJ Asul
3GbduPQThq9KIJ9Ql3JEaR,2,VEM NO PIQUE,MGD
3S8KXqbbSsC9U4jx2sWlG5,2,SEMPERO,QMIIR
4LkkRLP8pldQer1YRrHwkx,2,LOS VOLTAJE,Sayfalse
4Py9tjOvfOKDYblYeQnHdb,2,SIREN HEAD FUNK,Mc Delux
5R9FQXymzyhxjAYAkdbq5Q,2,ACELERADA,sma$her
5mdNm7u0Ir3isz6rqdgjrq,14,starly,LONOWN
5s7UhozoEwTPj1PUQIYJnW,2,VEKI VEKI,DJZRX
5s9JKS0P0exKgwLe4yCjAK,2,Montagem Bandido,Jmilton
6AlsXKwTJPVNm8FfOJmxiJ,2,envy,slxughter
6lAsYn0DdP9nGlDdrdzNig,2,AURA of GLORY,Ogryzek
6v0sTzF8VSr3gKVxrSAoBr,2,Amor Na Praia,Flame Runner
75xD7ri6lKNL19Fno7nmKQ,2,Nada Nada,Jmilton
7hCUHXMZknrymWCyeMx8B6,2,MONTAGEM RUGADA,cape
7lYG3hLGIH1XYRrym0oTm9,2,TE CONOCÍ,bxkq
7wfzmNtVE2q1SO7pwWK8Vf,2,fragment,slxughter
140RQJs57aymyZbBvwpUBW,4,Cry A Little Louder,Bruklin
1Qu53lAHUw2vcWo6Dn5vw1,4,Clothes Off,BELARO
2jGgMQVMd5k1r3T7zr6J2F,21,La2,Mishaal Tamer
33urafSYTMfCWX7K4ABDR5,4,rewind,THERA
41Z5PmYNGNvm9yHyuaWOaW,4,Good Girl Bad Dreams,Bruklin
5r6LP8LbFn3AgeuhysLush,4,"hold, a minute",Faust
0w6iI2pCqX2beV22BqXFCz,19,Mi Piquito De Oro,Ramon Ayala Y Sus Bravos Del Norte
1pQPpSRZ0cUYX0tsZNSBwz,11,Y Como Es El,Cardenales De Nuevo León
3lqEAlb7jROwCGdrXjGOhc,11,Rinconcito En El Cielo,Ramon Ayala Y Sus Bravos Del Norte
05od2qm2MTSKCHxy1GBp5W,4,12 to 12,sombr
0eaVIYo2zeOaGJeqZ5TwYz,3,No Pole,Don Toliver
1I8TmjlLd5e7cikLHmcZNk,4,Messy,ROSÉ
48vIfHaK7by6x0T6ucpODL,4,make you mine,Madison Beer
58AY1qIjo8ZD3vFgRqNtl2,13,No Room For A Saint (From F1® The Movie) - Walker & Royce Remix,Dom Dolla
5UJbgR4XF4y1DvbkxEqe8S,4,Sports car,Tate McRae
0PADy7eRJV9MBmUh4OgI1i,51,Heaven Knows - Rock Version,The Seal Voices
0nDCu34HMUlgsLuyCq43hH,51,Your Song Reimagined - Rock,ZrockPH
0vJvCa0DoE4JKVzZeqBn5l,51,I Will Be Here for You,Kaligta
1DjvdIekEbGlx7eVtkzMEn,51,This I Promise You - Punk Rock Version,East District PH
1oN7NS99C6gkdmL7Rms1RR,51,Mahal Ka Sa Akin,Skate Avenue
1qo22rzJHyagZ2fmpKywqW,51,Forevermore,Skate Avenue
1rqycWQZC18Co874CneW0U,51,Your Love,Banda Ni Kleggy
204p5LhUiBG5xR4svTqpiC,51,Zebbiana,Dumpsterocks
2MQysTURalNSbePcwQQESI,51,Tadhana - Rock Version,The Seal Voices
2UeUJxIhjSK04z2z6eVO1M,51,Your Guardian Angel - Rock Version,The Ultimate Heroes
2V8fT9x4v654JHh0bOxVRo,51,Right Here Waiting - Punk Rock Version,East District PH
2YpAarHKTw47nDV0yh3dyR,51,Biyahe,Dumpsterocks
2dqeJ3dlt4z3zrr5vQXwIX,51,I Live My Life for You,Skate Avenue PH
2jp2oHT6kLnwENXcr4xxst,51,Tuloy Pa Rin,Joshua Salatandra
2sam56Pcg5C0AqhvCRjyJ7,51,"Skate Avenue PH ~ Tell Me Where It Hurts, I'll Be, Kapag Tumibok Ang Puso - Medley - Rock Version",Thirdzy
2yD6XKnyUsqoxgdbntmfLw,51,Baliw Sayo,EHST_J
3TpXeZ99u56gpWQsTlLVmI,51,Dreaming Of You,HypeRaker
3d8mSoWwxF8UEzDb2rrHm8,51,minsan lang kitang iibigin Reimagined - Rock,ZrockPH
3gSHq5Jah3ascp0s66qg6r,51,My Valentine,HypeRaker
3oZzywvrkbVVEGJ7658bg1,51,Tadhana,Jeeps Over Taxis
3vLQKDaPhYBAWnmx1ZxN2Y,51,Ang Pag-ibig Kong Ito,HypeRaker
4CyuO6fIwQlPdm533HeZS9,51,'Til They Take My Heart Away,Android-18
4FnW3cI5bTUBv0zx5RnBmS,51,Ngayo'y Naririto,Mico C.
4GxAc6vWc8rYrPj8wAZMM3,51,I've Fallen for You,Skate Avenue PH
4IiCbS2b8jsTuruHzUQsQ3,51,Awit ng Kabataan,Snakefight
4VrCjKXWnoTyaOiNXfeyCp,51,Muling Ibalik - Rock version,Hoshikaze Nova
