track_id,track_name,plays,artist_id
00EzdWhfYcUQ8TZLXBciHY,หลับตาฝันถึงชื่อเธอ,1321354,4ykAAPcxGHz8z6N0muxbIP
00cE2yTZLjn2AKjHttfNfd,"Meesaala Pilla (From ""Mana ShankaraVaraprasad Garu - Pandagaki Vasthunnaru"")",6673097,0L5f9aJIaxQXTipZ7uQYiC
00rmbYNCclOV6Fszw7t27a,木星,836106,5FGlhIQqewJRV8fx24toG0
01am0E7bqQzLFnXmREJRLc,EMOCOES MENSAGEM,600211,1yevH7mkPMXeSTnA9SwHvq
020bssNgFXN1bWUYZuKyOI,unhappy,1211211,1UNYYQRaWX6QADIJufgNLh
02DTg31OOUTrDpP2gogTRx,MONTAGEM COLOM - Slowed,707750,6ejSrvgmt2Rhnv07C1FLov
036RDqV75fu4mul3doDxyg,MASCARA,738255,6YmJPuYzqe1HsJArGYcHBJ
03AFW2unDBhYoTEOuX7oeu,Não Volta Pra Mim - Ao Vivo,1231041,7nVA7u9N6fIcxxTXJDl4hq
03NV0xgGi5ivhK4JYkAmLe,Love in Slow Time,799734,0SPHOEwCSzS2yrC6S24usM
03gKien5h6AEM870zsSYxm,GOZALO (Ultra Slowed),6688121,09cKncAQn28NqTUORLMwSR
03mhpr8KxKGRng1nDfHnn2,รักร้ายท้ายสุด,699595,4ykAAPcxGHz8z6N0muxbIP
04KiE1HQJjNQU8koN8rsVs,Deeper,617726,6YaiytTo7ird6rLHP2BxYL
04YMLAsyIAe1sLb6RO5YcC,"J Balvin: Bzrp Music Sessions, Vol. 62/66",15584604,716NhGYqD1jl2wI1Qkgq36
04sxgjJL9yQRd8LD9SysdX,Balls balls balls balls,978671,32RaA7TgQ8WDXFG7xYBxXE
04tnLqh6lAG2KDheAY9ZYs,MONTAGEM SILÊNCIO - SLOWED,540677,3WKszaLW7cN3b7RKzNIyCX
05HvP9SPEQzEKUB9wqSskd,LOUCURA LETAL - Super Slowed,1234462,1kd6WqngBvP0Vthu1sGI0j
05axRIbcO9nhPiuLRz2pOW,KATYUSHA,2342774,1oHVosfRZkSB6LA5pFAta2
063pH1qYBplwBdrbKvkml7,Somebody's Doin' Me Right,2778416,4MoAOfV4ROWofLG3a3hhBN
06455EyunGQm3ytRvTEoWc,ALTAMAR - Remix,552983,2vpwloS2Oqgn4tSxcfVuCq
06A8Tr7xB8nffxyZOwPClF,Ciumenta Eletronejo,657677,1HJO94rJDdIYO6hoj4NU3b
06Ikvb4t2utDtM74MZcN6R,Ainda Bem / Resposta - Ao Vivo,3578420,6vTqEFbTtTRJsuIpzZgjxi
06aCcrOFZurkKU1N30YDcZ,EQUIPE CAOS (ELETROFUNK),549232,2qOkka1IztYKtVxyIUdwbr
06bb202h8xCZ904uMx8Z28,"Rivalry - from ""Heated Rivalry""",1001665,52NQGJWKvdWMbKxThs2fNC
06jg5hmitNCw50znrqJacw,N.W.A,1472434,6Te49r3A6f5BiIgBRxH7FH
06oRwfBISxd06rozMDDogR,Bad News,6092124,40ZNYROS4zLfyyBSs2PGe2
07KsWpzh1iP6OiUgcwc5rH,Los Más Sueltos (Remix),643648,1iwzxDCn3LikHvzTC3OFZA
07V3bkEdKnGwJJjKqa37F4,Nome Proibido,2316285,3H6OH7RAewpltqfllptffV
08C6m4alGcRaXEbm6IMsNs,Qué Rico PR!,1494494,2AbQwU2cuEGfD465wCXlg2
08DchrgnFXBD6H142l4tvY,SCANDAL ANTHEM,1318819,0copVQkrcbfv5CzOyXuLKy
08WX097zEdZviqKqfp7S1x,GOSTOSIN,15737366,7FNnA9vBm6EKceENgCGRMb
09uopYcL4Hoc1d5Bh0PZ6G,Talvez Você Precise de Mim (feat. Veigh) (Funk Remix),658788,5O3o9dCPHAVtnBrnwFri8j
0A5DXxbwE2YbIHZrzXT83X,Rivers and Creeks,3693862,40ZNYROS4zLfyyBSs2PGe2
0AWbhOimtlECEsQP0H5J6Q,CARNAVAL,3103023,0nFdWpwl7h6fp3ADRyG14L
0B0V6mIB9zsL5YyBsgSL02,MONTAGEM BAILE DE FAVELA,1186837,2uTF1m8tP37muytAgD4YAh
0BUvxX1tTOSJcsn6Y24Bsp,Say Why,6992165,40ZNYROS4zLfyyBSs2PGe2
0ExFfP6MZF8LLUDknAYzkO,"Nache Nache (From ""The RajaSaab"") (Tamil)",1283621,2FgHPfRprDaylrSRVf1UlN
0GecnrwlbhYKU0occvdJPs,ACIDO III - Slowed,13107533,6ESoeEazu57neU7UM6KRuC
0Gfj3PJYYEXmhV0Qla5HQc,Chiclona,9260614,34pmYm95tyjrnk8Cbj6nFo
0Gq4EpeQG0lERQyAA9etDt,R9,1586446,6Te49r3A6f5BiIgBRxH7FH
0GsNZAEjrG3xnjqsNm9aTq,Booma Yee,675767,5zeN5UUPeAzIZDBtSmjGTl
0I1x7qShAoqft0O0gk7Bau,Work Hard Play Hard (Slowed Hardstyle),1509446,3Vtn4tPlT2mTkh8WvgBLOJ
0IpjVkKj5FKRKSk5hAx5Bk,No Me Dejes Nunca,14293206,0ys2OFYzWYB5hRDLCsBqxt
0J6YQ9KDwmnwD1sboA8UPZ,SHKINI,9874416,5rQoBDKFnd1n6BkdbgVaRL
0JMFQ6DQloVNDZzYnpopAM,Raiva de Você,712599,30tExRU8h8VOiCeL9ia2aK
0JO9VhYHF6EI0KSw9xLI6A,Tahanan,22509149,1r2yCpK3TvWvkZQ2vFhDF0
0KA9o22Q8NfrASYKNwU8tM,8AM - ENSEÑAME,2671322,77ziqFxp5gaInVrF2lj4ht
0KPlbfJ7e8Beufds7pILpH,Make It Work,1286179,1dESZUZevzhd5dzq9ZsMLI
0KiX541gkZHZ2SNC5jctSd,528 Hz Fall Asleep,933225,4rXABp4A7KjG9elWFNAbO4
0KpIXnC0uUnlGZDhwISGzc,Strut,11502454,06RpzoM1Ww2pvhWLMeRRe1
0LSeiKUNrkerJtnV6sbjn9,528 Hz Sleep Meditation to Release Anxiety,895628,4rXABp4A7KjG9elWFNAbO4
0Lav2C23tnHkGjjc4ODwZi,Shakira Jatti's Hips Dont Lie - Nachdi Patola Banke,2884163,3EKb7xF5mZHpqukpdzHkwI
0LlxNxh50ndZIKeJVkiDuW,Besos En Guerra,651310,0b1vlMqqnLOtD28hVLVvzB
0M4O6UEu4F9SxImTsBuX9n,DUET,6743523,4XpUIb8uuNlIWVKmgKZXC0
0MBvgnHXWHA9iusb7TZb9K,We-Skhinkily,2081563,5afMmKIQumBXjSdEpTzS0Q
0MZxm2o1pedxNPD0ORiwgg,Akonuche,1771769,4Z3LLYwCpB9OKKaSttnapP
0MsHYntRES1QW1VtuhfdUk,SIERRA LEONE,11234763,4BUeuxQIWI69tEYuvzbv6D
0N68aqn4x0x4s503YXbSQt,Exagerado - Ao Vivo,2269139,1sDVuztNhGcetCLChkleDA
0NG9Vlg7X0NX0X5fkBv3ND,Everytown there's a darling,1643020,2nmWcAqQtfgNp8Kpixa2CG
0NPhwu2UVS423ls73eKkTm,Dynamite - Slowed To Perfection,652581,0mv06HWAJhV6nK7zd2eZwp
0NV2KZOCbc6YdrUmB0QYeO,Let Me - Bonus,1511761,2jku7tDXc6XoB6MO2hFuqg
0NiiLms82TzEoYboyNlH7s,MOVE YOUR HIPS,749471,2vPnS0IpayC2RVFuQA08R4
0NpdbvR5IGkOtXM4RJ8fR4,Generazione X,1058791,6PsQc21YZU7WNfiODG69Qk
0O3keIplGF51wSLcxglLhb,still the one,660401,0v0qVX2tr51uzIva7EjUxE
0OEyemEMBUbBbGlcb3w9J4,"Ghar Kab Aaoge (From ""BORDER 2"")",6260225,71hjb5G92mGoKRSAW3Cj00
0OVYhtxxWQn2pcs3XR095M,Niet Nodig,3358723,0YLlTW9rW7ZCy2cA2u3RYk
0P0GZSQTYSdCPzQar8Rbqf,ACQUARIO,2098823,3hN3iJMbbBmqBSAMx5veDa
0P3YLLto0LmRo7z6o0Cyz9,Raga,5362625,79omf4LgzaVAnXIRWPkJUq
0PA6wI9DZ0bWMaSpXyTrAW,PUES QUE LE HAGO ?,27855516,5c8ZR64evQ00Spl73s76fo
0PADy7eRJV9MBmUh4OgI1i,Heaven Knows - Rock Version,5844422,1wyY1DhksbNimjRRgm84d8
0PF2ZG8nMgAAcYwWLwYqnM,Of the undiscovered country,757015,2VZNmg4vCnew4Pavo8zDdW
0QuHK1VvIZ1Kt2GfqRrdVo,MUSA,3996661,4UhDECNxyqKv0Cn0sua1MC
0R7grQWU1dRxiOQGIqZm0Z,Shararat,30583548,465OXuCU8YZNmVG1leLwQ9
0RGonXl6geTopgDmkHQEKS,พร้อมพัง 2026,650162,4tM1FV7wm8Tp4bXhtWjBmX
0RHIyMHKSa4ulubOfPyNU3,Young Blood,644796,1273CkIB0lP8EWV7OoqiKc
0SBI2P0sOKIBnr6cPcojbH,1911,719171,3fD8S8sslhiMSVOdXv8yuG
0Sa8aRfGckW0qUGLrBwoBG,Todo Lo Fue,10391795,3hTffafUYLLgO4yuPAxb5U
0TBwd8gAbZV8uPo1Ub6Ymb,Marquinha De Fitinha - Ao Vivo,1484748,7KVJCU4z5L4EUHILL8aMxR
0U1TeVxM67Qig7YBdiAosz,Seet Lehar,12199663,0w4av5JIPZk9ZQ0lg6WwY4
0UPCtjbB6ZsK39KIE9p3Q4,Raja Rangbaaz,1221795,1T7MiVJ2MJlR5GKi11w4VT
0UQpFBbWxkctTHSJU9pQCi,Fanatismo,862262,3OxZ4asD88P1lJJmLcXz4K
0VOnuIfnGd06BZ0YCh6bBn,ผู้เข้าชิงคนโปรด,1025385,4ykAAPcxGHz8z6N0muxbIP
0Wf9g5SEVsHFAHjx6ORTjZ,Sometimes I Run,1487952,31n9JDnz0dcAx6lmwHRIaz
0X3m0HEj7MM4l2IycuQk9k,Sleeping City Funk - Slowed,2814010,0NNEggTd7RupgifjoxF9tG
0XQvtQJR0I5fjDUGswzwZU,Casa In Fiamme,865606,59MLbXG0jLVwJup3KAd6m1
0XdWJ7lfRPfyxhsOlGi5le,Tráfico De Rima,890457,6ogNxRbtZDpaCtOUBaf09u
0Y6YW1552df031DjV8qBHv,"Gehra Hua (From ""Dhurandhar"")",58437346,465OXuCU8YZNmVG1leLwQ9
0Ymzr5Fo4i10IaUQz5R0eO,Seven Serpents,945854,3BM0EaYmkKWuPmmHFUTQHv
0Z8Qbs7lqEo7ULDLy69y6Z,Seco - Ao Vivo,3084692,3k68C6mNMJL6OaAdWeW2ZF
0ZCIBMertmMpe9rGNWIjhI,Baby Bell,6410707,51nc2EzirxJ4U2nqjXezl6
0ZJhk5LlgvkPRN2knVnvDX,528 Hz Miracle Sleep Tone,1002754,4rXABp4A7KjG9elWFNAbO4
0ZS647xp15OrbHcM74HLEN,Ya No Volverás,831356,063Vp9es6lLAbFUDtIAkFD
0ZcitQC78lqMjm8T6XQEvw,It's La Vida Loca,2939139,5xsRtqtzsn3i2vYi3rcmUu
0ahwvcDwUmqx6nusFmPHxv,VAZIO ETERNO - Slowed,3515876,2JDnku4kiI3LuXeyKtzrhU
0b4zjcPS20V98mzJHM0uwo,Campeonato de Put4,722234,3Y4ODN6kIBNpQj6eWNT9xw
0bA9nsy1nceHSYwNhFCcWU,La Princesa (Le Dolió),572101,4pergvNsYlbWJg7TX6ISbp
0bkRzGY32FrYEy7xG02gsv,無名氏 - (Netflix影集《如果我不曾見過太陽》插曲),525387,5Hq9W4AHt4ykIEJp6ObqOG
0bu7lHmTzz2iBzqbT84olJ,Belle âme,802654,1DcL22xdIWcdNa4ZHaXZjT
0c1agmy1F42H5fDlS4UFSa,Noite Bela Noite Linda,2141502,1bpnl8qbR9GxmiNlkEufW6
0cwZOQqYBYqqjbbACBNYQw,Who You Are,2483114,5p9HO3XC5P3BLxJs5Mtrhm
0cz6nvlqemvTygR3Bwybls,Alive - DJ HEARTSTRING Remix,1221612,67hb7towEyKvt5Z8Bx306c
0d2OevhRY98n6MJIAt9zLh,Ritmo Lilly Wood,1358698,2pdregtTGt1CuXZkXzEd1r
0dejOmsUWCsdIGWBMfe0lb,Helios Rap Remix - JerseyClub Mix,1587997,1KBz7cHeoubLpAzcJNMRpI
0febwTwLDSZzrt46i1RBF5,Ishqa Ve,29225645,1Bz46nDCMO1UOKp9GJjL92
0gqjfjU0NWengnpOKPQYNv,ย้อนใจ,698177,7dlehfFf7aaW440t5jmero
0hVL1RhFEnCXGlXNAzm3Lm,Ese Loco Soy Yo,1294243,5Bb18koIu6bYuvZWzYKkLJ
0haKFpr3tpRVClroNbUnHx,NWAR,1710115,6Te49r3A6f5BiIgBRxH7FH
0hkhkJRjLVc8dQb4otKwvN,Contigo Vibro,734476,3HeDKhRrGbkjhnI6fKQJbe
0hlPsa2ntlZwppEl7QdXwU,Play Hard (Hardstyle),1049188,1pHV2NLZqJVvMQruGS9Fir
0hrR28IofCUiGDfL5eT2S4,"Faith, Pt. 1",1297643,3EZWlSBWlPsC8lCI2Y36Gl
0iI3QPTdmMzXf7dMApinMG,ACID,1319263,7qvjUtp2ccRD9AiDnukyFF
0iIl1NDawjYEiHumXLjZjY,ALLT SNURRAR,839020,5Cbn1PScGFcG2PlibZY65u
0iRUtCl9l0qYdO3eLJV3wL,Badness Upgrade 2.0,997306,3zorWCDx017sz4UYP2fC9w
0jDBL4EmgC7SF60GzT8wrz,Coração De Pedra,1586548,34dfPo3Zi55yM6oV46q4y7
0jJ7cHoHGBbxA5qQ3PiD2X,TRIADTEKK - Super Slowed,700231,4zA8FdPVZlbGZQBseivZun
0k3pfjnlvR6ksjQo4IKgWp,One More Night,868008,4QIrb9XF0JXLmlJV1z1puH
