track_id,track_name,artist_name,artist_id,community_id,umap_x,umap_y,playlist_count,log_playlist_count
36E2gH1Z5oUJaEVGBCY2Dl,when the party's over,Finneas O'Connell,7hCuNVmOMT7ntattMgmL96,8,-4.543363,8.111527,3,1.3862943611198906
7l2nk7fFbaibO3sjvo4wvq,Amores como el nuestro,Los Charros,1poWksyUHxANlcdBLPhsV9,15,-4.5414724,8.108439,3,1.3862943611198906
3yX13QX2pqJP55Q0Tg8Pm5,Alquien Que Bese Como Tu,Pedro Suárez-Vértiz,3Azj8v21CQ76AVvjuNv5Vg,7,-4.543655,8.109759,5,1.791759469228055
6FstWkgRdHagqJ6qjDbiK0,Insoportable,El Canto Del Loco,5RK6c1tyaKpwcDpbgCGNgj,7,-4.5382204,8.108231,4,1.6094379124341003
3AZ2FAKI5pGoRgRdAwN2Mq,No Puedo Olvidarme Ti,MDO,08xFgTEmizKwzfDSbxvODp,7,-4.536062,8.105855,21,3.091042453358316
0p4AJ91CdS1k8ibpguPJg5,Dad,D.O.,2CQZr2RPZmrcvDnaod1ldC,19,-4.5463567,8.10907,3,1.3862943611198906
3GTRCT1awGpTwi3ONuT8D3,Good Night,EXO,3cjEqqelV9zb4BYE3qDQ4O,19,-4.542201,8.110831,4,1.6094379124341003
0du1JW7fWUt9dKGjuNFBDn,X-TALI (SLOWED),MXCCREE,7qIgmxSjoXEeifSVDh8nIt,4,-4.533998,8.110694,5,1.791759469228055
00nlvJd1e6EGFc2dzssl9g,Yoga,Only Fire,4Cp42FwqEytHeaudurPKiN,22,-4.5366616,8.109359,3,1.3862943611198906
3ZT5UenhLy6jw689mL31Hg,Nostalgic Serenade,Crescent City Swingers,3jbkjQhJwJuUOvJRbkQ0Pu,80,-4.5418816,8.11244,4,1.6094379124341003
3EbPCciONYOd9tUugAUYJa,Concordia,Aisec,7JeDYp7rhFWT9vGFAyKWau,91,-4.5210023,8.091728,14,2.70805020110221
0iZKfu7M0XcqVgYZOSOs9R,"Praise to the Lord, the Almighty (Arr. F. Swann)",Traditional,1U5zgr455OGyIkLNXvDdrf,8,-4.4303765,8.063916,3,1.3862943611198906
3Cw7jJw0z33pNwLirJLcE2,Malibu,Erwin Do,4EUMzs3VfIVjB5yrHv153S,6,-4.403702,7.9825315,3,1.3862943611198906
63omHp6JgKEqhJaHsIQVUu,Voglio ballare con te (feat. Andrés Dvicio),Baby K,725KKhVCSCQbYkZBptBTfg,56,-4.4556212,7.9240522,4,1.6094379124341003
3zhQ74Oan1RIO78RmMr1F4,Se Me Perdió la Cadenita,La Sonora Dinamita,13or1Wf6ipcvSIiurZATvw,20,-3.3150938,2.111951,8,2.1972245773362196
2AN0ztgLgruyID3VTWeDF2,Yang Penting Hepi,Vita Alvia,5zkv5DNu55fRGWGd7HGQka,21,1.113071,10.183716,3,1.3862943611198906
