track_id,track_name,artist_name,artist_id,community_id,umap_x,umap_y,playlist_count,log_playlist_count
4sAXMZ64elOFOELTTBllNi,Gone,Mr. Käfer,79U1adgS3jIlP28wwMHqGJ,28,2.7145722,-3.2670004,4,1.6094379124341003
1aQwP7MaUmsCW65Pck7CLE,다짐,Jo Sung Mo,52IPniXhQmDTYa5xQnoA2K,55,2.7196138,-3.2695277,5,1.791759469228055
2fUNlLJrzdX1uoK6pMwuai,Back 2 Front,Lemtom,2B9xp0rpwFz5TON2ZSSKEF,13,2.7156103,-3.2640412,3,1.3862943611198906
1OXPUo0Cw7NcClZOtlxLbI,Stereo Love,Ascence,4nE5XDjvi5Gd4XbVnHGjnE,0,2.7235208,-3.2657323,3,1.3862943611198906
2xwQlK7rAWi4WJ7PU470rc,Watcher,Aaron Cherof,12wrk3bSfQZL9vou4QWI7u,81,2.7114153,-3.2786133,5,1.791759469228055
2NYwMWOAnl3JTMWBX3KxnU,Ver Se Me Escuta,Dj jão o brabo,2Nb5R0asqVAKYoMAOGJvYO,7,2.7113168,-3.2638855,3,1.3862943611198906
76ozsmDHwuQ3qnz7wdKbyV,สุดที่รัก,Retrospect,5WMTLWYhybOr4SExHQiu1q,1,2.706303,-3.2559617,12,2.5649493574615367
7rpQzmMwS1yW1f0oWxBS9z,Ikaw Lang Patutunguhan,Amiel Sol,4iXntje546XRJmmMTjTO7g,34,2.7078178,-3.2545185,23,3.1780538303479458
1Zvtd7EnJdsAOo47Jt1Nxy,druppel,yungmerrin,5rsVYU0xdA9SUiipNxLmnf,28,2.704207,-3.2684076,5,1.791759469228055
4jwAlalnN7RjBt3lg1H56E,Lejos Estamos Mejor,Eden Muñoz,1gJdf4Yybu4X5A2xYV3NMV,11,2.7162468,-3.2696822,18,2.9444389791664403
7dkjYQxANZx1IJu1CL3BAX,Kiss,Salvia,3T3juofaiH7kZlAhtlmYIs,17,2.722961,-3.2731905,3,1.3862943611198906
4TF7htqGCfImQBoncHf02Q,Say It Right,R3SPAWN,2Pfp9mATiuKRzCMLhfs3tB,8,2.8178432,-3.31904,7,2.0794415416798357
618tZYqxPdWJgeELQ2NnNd,Wheels,Hassan Bin Rashid,5S70f0n2GgAntgvCt9dCIA,4,2.7838004,-3.2457962,14,2.70805020110221
06GChUTuWdu4jC4NtIR4Ey,เลือกฉันก่อนเธอ,Goy Arachaporn,08i92Xw2ejoxy4D1agyMPC,1,2.6435184,-3.3355598,3,1.3862943611198906
6iCH68EVZeUm0qlIBp5GOO,Small Change,DON WEST,2FjzRd1bgtsmhESettmFAN,3,9.392802,-1.5765649,7,2.0794415416798357
4jOkdygSToNBliVP0SsQj5,Regular,Phlocalyst,5xJ9q1lHwa8AShRof94oIt,28,0.74885285,6.76179,6,1.9459101490553132
0eu980jKEhDoUCbwZHNI9W,Just When I Needed You Most - Ronan Remix,Dual Sessions,62G1LvBKkkl7sLHqrGbAcp,43,30.828268,0.3127265,3,1.3862943611198906
5CofQz2Gghqf3AZhoZaLlg,Amerika (Partysnekk),OSA,6ZYuMuLkMAK55dQSokeoGJ,20,18.918243,2.9717073,5,1.791759469228055
4CotLLJRLI1gJkjGpwFe8Q,RAMPAGE.,HÈXLXHZ,5YczFXfzGgrbTMy55A8kNv,14,6.164132,-0.04911533,3,1.3862943611198906
49izPzDEYjq06nANdSryn9,Fukk Sleep,TRFN,5Wj4v7ri4aDONkGEIuo0zp,30,8.604599,-4.022887,3,1.3862943611198906
26Z2FQ9KFswyX2x7LxhQKs,Caliente,INNA,2w9zwq3AktTeYYMuhMjju8,36,6.9848247,-0.27500224,6,1.9459101490553132
0wQ1DfSzBUL2vtH1AcGnpb,Phantasy,The Rocketman,6ArtT03Hv9H55Y3EVa7d2V,0,7.9304504,-4.683896,4,1.6094379124341003
5eeMubQcvPt7XWUbzhqBPF,Midnight Oil,CMJ,0PbBgZYFayICVW0646NtXG,28,0.8022361,6.7874784,9,2.302585092994046
7MNoiOUikF1PiAYPZS4FBU,Open Your Eyes (I'm Right Here),Braaheim,5yczwlOmRZG3wUEtvLiGBg,0,7.826891,-3.5715477,6,1.9459101490553132
2YQNWukp5hFZ7Bc2PeeoFO,Indonesiaku,Etenia Croft,4redGmIrV9gk8A8SXJR2s0,31,0.08717189,1.4386675,5,1.791759469228055
1XD4K4CGAKTIBmFpvuaFru,Dancing with your eyes closed,Jane Remover,2rLGlNI6htigNxx172qxLu,13,9.111066,-4.442452,3,1.3862943611198906
3bNeBFtZnGBALNb45ZVW7Z,twenties,flapjack,4Ec8xHeL5O3aydabXKZkCR,39,6.5709667,3.8277595,3,1.3862943611198906
56sExwBBmnDoRErXqghqrW,best. day. ever.,Scoobert Doobert,5zKkCi9E4L8p6aRiCSJVTn,4,9.276818,-2.0649981,3,1.3862943611198906
3sPmZ5I9zdbOxLxQV50rzf,Moti Saami,VJAY KHARB,4QvA0I76PmrfOZE5oV0Ub4,25,15.145192,5.7064676,6,1.9459101490553132
6UhyOKAi2V34FD87MKaJ5Y,Havaianas,Som de Faculdade,4Ucv2hBE3WtFc1gScBt29n,44,9.809997,9.886756,7,2.0794415416798357
7j5uMyo52Fqndp3kLjuI9U,Maryada,Narci,3b9iVRjKkiC4oIHXB7pbzJ,25,2.7196064,-3.2844665,3,1.3862943611198906
2gUDwAFUZdGIdIIy6hZTpS,NOCHE DULCE,LXGHTLXSS,6fgxSvkznI98Dc33X7FynB,2,4.616283,-0.9745531,3,1.3862943611198906
75X2LLppcaCG2mm6RcxyoI,Silver Lines,Astrality,6KGv020mJkIjQH5YPDSBcZ,30,10.76446,-3.955213,5,1.791759469228055
5DTahoMKuix8Fi1WSXGwIW,VIANO,RK,2s7fZ34RK8RUJQ2ewsh6I5,54,10.729542,-0.46411794,4,1.6094379124341003
3UngWg2D30kdO4PJKjzSuj,Meu Jeito de Ser / Que Se Chama Amor - Ao Vivo,Sorriso Maroto,1fUSLFr4WUBx7joEcGwpvG,44,10.040106,10.018009,3,1.3862943611198906
3wAvAVwMbUG3Bw23M8KMke,Gnarly - Ice Spice Remix,KATSEYE,3c0gDdb9lhnHGFtP4prQpn,47,13.328188,-5.5638895,3,1.3862943611198906
710Du5zGllkB76zGXwhLQJ,Girl,Felipe Allenn,3ApsbRT5vKW3VaNcUlDy6D,21,10.438022,-5.0375533,7,2.0794415416798357
1AhxfHRG3GYYoL6DbbRvop,Laare,Seera Buttar,4gYkupDdCRGvdDHFwQwLOr,12,13.822386,5.38718,3,1.3862943611198906
7F5QR3pLcfw70joEmJftPJ,SENTO - Slowed,QMIIR,20grbXINI9PPalsRLgh9oP,2,5.294465,-1.1000736,5,1.791759469228055
6Twf2B2IGXAN0YDJeTxkt2,Menerima Luka,Natasya Sabella,2w2xKlumnOzCf5eVTkmNXn,16,0.10173651,0.9208157,5,1.791759469228055
4WSfFnizOJOxTSGSD4ljP7,Jaat Intro (feat. Pranjal Dahiya),Ajay Bhagta,2AROpfEsCIX5oKbtB1oAWM,25,15.055843,5.6612077,17,2.8903717578961645
6lNL5C8pLzzlCAs4PaX7q8,4 Palavras,Leviano,0xEdwBYYjxw6wk179Tq2sJ,7,9.338922,9.103091,7,2.0794415416798357
4FXuup5IRVmsgOve8Fpi0l,PLEAD (Minecraft Note Blocks),NoteBlockMatt,00lURfMiw7zuRUHTZocPsM,17,7.2544785,-0.118315704,6,1.9459101490553132
1D0GWnyov3EQ1n0mKadR3u,Relojito Cartier,Luis R Conriquez,0pePYDrJGk8gqMRbXrLJC8,11,15.507126,-3.6290805,4,1.6094379124341003
7A20gsAyhQfQYb99oeOKxZ,Wake Me Up,BALD,3TcllBpIrZMYMVp0w6AYbu,0,8.406306,-4.0567055,3,1.3862943611198906
13oIruJ4PGEysSzhxZlApg,Klä av mig - Psyklir Remix,Emil Assergård,3fpHdW8mp95bOCzRLcauZm,20,18.26915,2.7562377,9,2.302585092994046
0WZNKBHD9fTiLVMWX2hIPK,cartier,jaydes,5zI4LODdVYwnKZHv4mDHRv,15,15.84068,11.354174,6,1.9459101490553132
0nDCu34HMUlgsLuyCq43hH,Your Song Reimagined - Rock,ZrockPH,3zcyTHyUwQls9gJmwjRKau,51,1.6959047,14.477184,3,1.3862943611198906
6yCbgehhAga5ifAoSP21op,Indigo,YVO,7a0a89o7fM8Qz6DK1PQNFM,23,0.042137086,10.674266,3,1.3862943611198906
16VaJnUtCMGq3HFLBP2GfT,HEAVEN FUNK,Dj Samir,6U0dJxYVB41L8WDZ02Nwuk,2,5.1779785,-0.8576349,3,1.3862943611198906
13TqFlKonsFPJttzv0O33P,Bang Jali,Linda MoyMoy,2rtFhoQ34MFKQ31LeESCYH,16,-0.6294935,0.9026431,4,1.6094379124341003
1GAw3bcBzoUvlxVBIu0ohw,MMM,martoven,0m1T5ZcVNQeRQljtMSpZoL,1,9.523812,-2.5164125,3,1.3862943611198906
271JR1KloSIQQC19EGOGia,Fall In Love,Roman Müller,3nFw6mPGG5Uj2YS7IyaGEF,21,10.470208,-5.075387,12,2.5649493574615367
3jzXUnJxAG8Yqj9IVR8RZx,Original Don,Sub Focus,0QaSiI5TLA4N7mcsdxShDO,26,8.826632,-3.2460093,5,1.791759469228055
0zKsNJbYwvNTpePcwra0Qq,PYHU (Put Your Hands Up),HUGEL,5PlfkPxwCpRRWQJBxCa0By,13,10.030068,-4.1539783,9,2.302585092994046
5Nuq6b2eEjxoL8vSvMv8BI,DIOSA,Javier Ferreira,4L5GQO2zvzRp6OOvKZIs5H,62,10.563953,10.140526,6,1.9459101490553132
1olVaaAh1zhi3WFXs318V2,失眠飞行,"接个吻,开一枪",2l5m4pAZsByhzQUbj5cOQt,40,16.84665,-11.172704,4,1.6094379124341003
